id;titolo;corso;materia;argomento;data;ora;durataOre;autoreMatricola;tipo;candidati;confermato;contatti;note;cancellato;cancellatoAt;daRiconfermare;cancellazioneVistaDa
4cc119f2-fc55-4543-a4ba-919ee26bf2b2;Aiuto con Psicodiagnostica (Studente);Psicologia clinica;Psicodiagnostica;;2026-09-23;14:00;1;0011224422;REQUEST;0011224455;;;Disponibile anche online se piu' comodo per il tutor.;false;;;
d5a2aeb2-37e1-4bb8-bb56-f891d227ab57;Aiuto con Psicologia dell'Educazione (Studente);Psicologia scolastica e di comunità;Psicologia dell'Educazione;;2026-09-24;15:00;2;0011224433;REQUEST;;;;Vorrei concentrarmi soprattutto sugli esercizi d'esame.;false;;;
97f9f68d-6384-492f-b342-87211f6ba7bf;Aiuto con Psicologia di Comunità (Studente);Psicologia scolastica e di comunità;Psicologia di Comunità;;2026-09-25;17:00;2;0011224433;REQUEST;;;;Disponibile anche online se piu' comodo per il tutor.;false;;;
4a6b01a9-6ee3-49d8-948e-955e6d53b38c;Ripetizioni di Chimica degli Alimenti (Tutor);Scienze e cultura della gastronomia;Chimica degli Alimenti;;2026-09-26;09:00;1;0011224444;OFFER;0011224499;;;;false;;;
ba4d8b4a-6f9b-4125-b0a3-445e5ab202c2;Ripetizioni di Cultura Enogastronomica (Tutor);Scienze e cultura della gastronomia;Cultura Enogastronomica;;2026-09-01;09:00;2;0011224444;OFFER;0011224411;;;Preferisco sessioni pomeridiane, ma sono flessibile.;false;;;
c77b7ff7-3e1e-42a9-aca8-e298e96f2f0e;Aiuto con Scienze Gastronomiche (Studente);Scienze e cultura della gastronomia;Scienze Gastronomiche;;2026-09-02;11:00;2;0011224444;REQUEST;0011224400;;;;false;;;
2dfa2753-0980-46fd-a800-00b0ff2a84a5;Aiuto con Microbiologia degli Alimenti (Studente);Scienze e tecnologie alimentari;Microbiologia degli Alimenti;;2026-09-03;16:00;3;0011224455;REQUEST;;;;;false;;;
c6c993c8-5073-4066-9b04-718da1ab3dd0;Aiuto con Chimica Analitica (Studente);Scienze e tecnologie alimentari;Chimica Analitica;;2026-09-04;09:00;1;0011224455;REQUEST;;;;Ho gia' seguito le lezioni, mi serve solo un ripasso mirato.;false;;;
e50d4723-3437-443f-8a6e-2e0099b85c35;Ripetizioni di Tecnologie di Conservazione degli Alimenti (Tutor);Tecnologie alimentari;Tecnologie di Conservazione degli Alimenti;;2026-09-05;10:00;3;0011224466;OFFER;;;;Ho gia' superato l'esame con voto alto, posso condividere schemi e appunti.;false;;;
733126d4-9c97-4066-9760-45db1002daf4;Ripetizioni di Microbiologia Industriale (Tutor);Tecnologie alimentari;Microbiologia Industriale;;2026-09-06;18:00;2;0011224466;OFFER;0011224477;;;;false;;;
83d91647-8922-4d37-9187-c5c67316ebdd;Aiuto con Chimica degli Alimenti (Studente);Tecnologie alimentari;Chimica degli Alimenti;;2026-09-07;14:00;2;0011224466;REQUEST;;;;Disponibile anche online se piu' comodo per il tutor.;false;;;
e8095870-6536-43b9-aa6b-3a2a881ac632;Aiuto con Sicurezza Informatica (Studente);Tecnologie dei sistemi informatici;Sicurezza Informatica;;2026-09-08;18:00;3;0011224477;REQUEST;;;;Vorrei concentrarmi soprattutto sugli esercizi d'esame.;false;;;
f33d001a-4344-461f-9bd7-2b2a43ce7d20;Aiuto con Programmazione Web (Studente);Tecnologie dei sistemi informatici;Programmazione Web;;2026-09-09;18:00;2;0011224477;REQUEST;;;;Disponibile anche online se piu' comodo per il tutor.;false;;;
29fffca8-765e-4bb0-b526-63f8b22a4a4c;Ripetizioni di Chimica Enologica (Tutor);Viticoltura ed enologia;Chimica Enologica;;2026-09-10;10:00;3;0011224488;OFFER;0011224455;;;Ho gia' superato l'esame con voto alto, posso condividere schemi e appunti.;false;;;
9e3a366f-6ec9-427c-b3a8-20189e475434;Ripetizioni di Viticoltura (Tutor);Viticoltura ed enologia;Viticoltura;;2026-09-11;18:00;1;0011224488;OFFER;0011223355,0011223399;;;;false;;;
1da375ee-f68e-4ceb-8d14-0c8ba3c5467f;Aiuto con Degustazione e Analisi Sensoriale (Studente);Viticoltura ed enologia;Degustazione e Analisi Sensoriale;;2026-09-12;18:00;1;0011224488;REQUEST;;;;;false;;;
bfec4ed3-002c-4682-bf80-1a566145fc02;Aiuto con Organizational Behavior (Studente);Work, Organizational and Personnel Psychology;Organizational Behavior;;2026-09-13;17:00;2;0011224499;REQUEST;0011224444;;;Vorrei concentrarmi soprattutto sugli esercizi d'esame.;false;;;
d370a56b-59fe-4b18-913d-40243768ca6a;Aiuto con Psicologia delle Risorse Umane (Studente);Work, Organizational and Personnel Psychology;Psicologia delle Risorse Umane;;2026-09-14;09:00;3;0011224499;REQUEST;;;;;false;;;
